"Record ID","Survey Identifier","Survey Timestamp","Participant classification","Please enter your classification",College,"Main department","Main department","Please write down your main department",Gender,Race/Ethnicity,"Please enter your ethnicity","What type of computer user are you?","My primary computer is a","What year was your computer purchased?","What is the size of your computer screen?","The screen size of your computer","Do you have a warranty on your computer?","Warranty on your computer","Do you have a webcam?","How would you rate your computer?","What model is your computer?","Computer model","Computer ownership","Computer ownership","What is the operating system that you use?","Operating system","Operating system version","Operating system version","Computer processor","Please write your computer processor","Computer memory size (RAM)","Computer hard disk","Current size of your data in the computer's hard disk","Do you backup the data from your computer?","What backup method do you use?","Brand of external back-up disk","Please write down the brand of external back-up disk","Brand of cloud","Please write down the brand of your cloud back-up","Backup frequency","Have you set up automatic backups?","Have you experienced a catastrophic loss of data in the last three years?","Are you familiar with the UH Microsoft 365 OneDrive for automated, incremental backups?","Do you have a secondary computer device?","Is it synced with your primary computer device?","Do you have a smartphone?","Smartphone brand","Please write down the name of your smartphone","Smartphone model","Please write down the model of your smartphone","Do you have a smartwatch?","Smartwatch brand","Please write down the name of your smartwatch","Smartwatch model","Please write down the model of your smartwatch","What is your preferred course delivery format for courses in the Fall 2020 semester?","How confident do you feel installing and configuring software (docker containers, VPN, backup software, and others) by yourself on your computer?","Speed of your home Internet","Given your online course experience from Spring 2020, how reliable has your Internet connectivity been overall?","If you were provided adequate IT support to setup your primary computers with needed coursework software, how likely would you use the on campus Computer Labs in a future semester?","Would it be beneficial for IT personnel to have office hours (like a help desk) to assist you with with course-related software issues, general computer systems issues, and other related challenges?",Complete?
1106,,"2020-07-27 21:09:14",Senior,,"College of Liberal Arts and Social Sciences",,Psychology,,Male,"Asian American",,"Standard User [document writing/email/web]",Laptop,2018,15'',,No,,"Built-in to my computer",Good,Other,HP,Own,,"Chrome OS",,"Windows 10 Home",,"Intel Core i7",,"32 GB","512 GB","100 GB - 500 GB",No,,,,,,,,No,Yes,Yes,No,Yes,iPhone,,"iPhone X Series",,No,,,,,"Fully Online","Somewhat confident","300 - 500 Mbps",Excellent,"Neither likely nor unlikely",Yes,Complete
1107,,"[not completed]",Junior,,"College of Liberal Arts and Social Sciences",,Other,"World Cultures and Literature",Male,"Prefer Not to Say",,"Standard User [document writing/email/web]",Laptop,2019,15'',,"1 year",,"Built-in to my computer",Average,"Lenovo ThinkPad",,Own,,"Windows OS",,"Windows 10 Home",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
1108,,"2020-07-27 21:17:33","Doctoral Student (PhD)",,"College of Liberal Arts and Social Sciences",,"Political Science",,Female,Hispanic,,"Power User [... plus programming/analytics]",Laptop,2019,14'',,"1 year",,"Built-in to my computer",Good,Other,"HP Spectre",Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i7",,"32 GB","256 GB","100 GB - 500 GB",Yes,Cloud,,,Dropbox,,Daily,No,No,Yes,No,,Yes,Samsung,,"Samsung Galaxy",,Yes,Samsung,,"Samsung Galaxy Watch",,Face-to-Face,"Somewhat confident","300 - 500 Mbps",Fair,"Somewhat likely",Maybe,Complete
1109,,"2020-07-27 21:14:58",Sophomore,,"College of Liberal Arts and Social Sciences",,Psychology,,Female,"Asian American",,"Standard User [document writing/email/web]",Laptop,2019,13'',,No,,"Built-in to my computer",Good,Other,"Hp ",Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i7",,"16 GB","256 GB","< 100 GB",Yes,Cloud,,,"Google Drive",,Monthly,No,No,No,No,,Yes,iPhone,,"iPhone X Series",,No,,,,,"Fully Online",Neutral,"300 - 500 Mbps",Good,"Somewhat likely",Maybe,Complete
1110,,"[not completed]",Junior,,"College of Liberal Arts and Social Sciences",,Psychology,,Female,Hispanic,,"Standard User [document writing/email/web]",Laptop,2020,14'',,"1 year",,"Built-in to my computer",Good,"Lenovo ThinkPad",,Own,,"Windows OS",,"Windows 10 Home",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
1111,,"2020-07-27 21:41:05","Post-Baccalaureate (non-degree option)",,"College of Liberal Arts and Social Sciences",,"Communication Sciences and Disorders",,Female,Hispanic,,"Standard User [document writing/email/web]",Laptop,2015,15'',,No,,"Built-in to my computer",Good,"Dell Inspiron 7000",,Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i5",,"8 GB","256 GB","100 GB - 500 GB",No,,,,,,,,No,No,Yes,No,Yes,Samsung,,"Samsung Galaxy",,No,,,,,"Fully Online","Somewhat confident","> 500 Mbps",Good,"Very unlikely",Yes,Complete
1112,,"[not completed]",Freshman,,"College of Liberal Arts and Social Sciences",,"Jack J. Valenti School of Communication",,Female,"Asian American",,"Standard User [document writing/email/web]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
1113,,"2020-07-27 21:29:49",Senior,,"College of Liberal Arts and Social Sciences",,"Health and Human Performance",,Female,"African American",,"Standard User [document writing/email/web]",Laptop,2018,13'',,"1 year",,"Built-in to my computer",Good,"Microsoft Surface",,Own,,"Windows OS",,"Windows 10 Pro",,"Intel Core i5",,"8 GB","256 GB","100 GB - 500 GB",No,,,,,,,,No,Yes,No,,Yes,iPhone,,"iPhone 11",,No,,,,,Hybrid/Blended,"Moderately confident","100 - 300 Mbps",Fair,"Somewhat unlikely",Yes,Complete
1114,,"[not completed]",Freshman,,"College of Liberal Arts and Social Sciences",,Psychology,,Female,Hispanic,,"Standard User [document writing/email/web]",Laptop,2018,13'',,No,,"Built-in to my computer",Good,"Apple Macbook Air",,Own,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
1115,,"2020-07-27 21:33:57",Senior,,"College of Liberal Arts and Social Sciences",,Economics,,Male,"Prefer Not to Say",,"Standard User [document writing/email/web]",Laptop,2016,13'',,No,,"Built-in to my computer",Average,Other,HP,Own,,"Windows OS",,"Windows 10 Home",,Other,i3,"4 GB","128 GB","< 100 GB",No,,,,,,,,No,No,No,,Yes,Google,,Other,"Google Pixel",No,,,,,"Fully Online","Very confident","< 100 Mbps",Excellent,"Somewhat unlikely",Yes,Complete
1116,,"2020-07-27 21:34:52",Sophomore,,"College of Liberal Arts and Social Sciences",,Other,"Anthropology ",Female,"African American",,"Standard User [document writing/email/web]",Laptop,2019,13'',,No,,"Built-in to my computer",Good,"Apple Macbook Air",,Own,,"Mac OS",,"High Sierra",,"Intel Core i9",,"32 GB","256 GB","100 GB - 500 GB",Yes,Cloud,,,"Google Drive",,Weekly,Yes,No,Yes,Yes,Yes,Yes,iPhone,,"iPhone X Series",,No,,,,,Hybrid/Blended,"Moderately confident","300 - 500 Mbps",Good,"Neither likely nor unlikely",Maybe,Complete
1117,,"2020-07-27 21:44:20",Senior,,"College of Liberal Arts and Social Sciences",,Psychology,,Female,Hispanic,,"Standard User [document writing/email/web]",Laptop,2014,13'',,No,,"Built-in to my computer",Fair,"Apple Macbook Air",,Own,,"Mac OS",,Catalina,,"Intel Core i5",,"16 GB","128 GB","100 GB - 500 GB",No,,,,,,,,No,No,No,,Yes,iPhone,,"iPhone X Series",,No,,,,,"Fully Online","Not confident","< 100 Mbps",Fair,"Somewhat likely",Yes,Complete
1118,,"[not completed]",Sophomore,,"College of Liberal Arts and Social Sciences",,"Health and Human Performance",,Female,White,,"Standard User [document writing/email/web]",Laptop,2015,15'',,No,,"Built-in to my computer",Average,"Dell Inspiron 5000",,Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i5",,"> 32 GB","512 GB","500 GB - 1 TB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
1119,,"2020-07-27 21:53:02","Doctoral Student (PhD)",,"College of Liberal Arts and Social Sciences",,History,,"Prefer Not to Say","Prefer Not to Say",,"Standard User [document writing/email/web]",Desktop,2010,17'',,No,,"Built-in to my computer",Average,Other,"HP PC with Windows 7",Own,,"Windows OS",,Other,"Windows 7",Other,"I don't know","32 GB","1 TB","100 GB - 500 GB",Yes,Cloud,,,Dropbox,,Daily,Yes,No,No,Yes,Yes,Yes,iPhone,,Other,"iPhone 6x",No,,,,,"Fully Online","Somewhat confident","100 - 300 Mbps",Fair,"Very unlikely",No,Complete
1120,,"2020-07-27 22:05:43",Senior,,"College of Liberal Arts and Social Sciences",,"Communication Sciences and Disorders",,Female,Hispanic,,"Standard User [document writing/email/web]",Laptop,2018,13'',,No,,"Built-in to my computer",Excellent,"Lenovo Yoga",,Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i5",,"8 GB","256 GB","100 GB - 500 GB",No,,,,,,,,No,No,No,,Yes,iPhone,,Other,7,Yes,Fitbit,,"Fitbit Versa",,"Fully Online","Somewhat confident","> 500 Mbps",Average,"Very likely",Yes,Complete
1121,,"2020-07-27 21:58:21",Junior,,"College of Liberal Arts and Social Sciences",,"Health and Human Performance",,Female,"Asian American",,"Standard User [document writing/email/web]",Laptop,2019,15'',,No,,"Built-in to my computer",Average,Other,Acer,Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i5",,"8 GB","512 GB","100 GB - 500 GB",No,,,,,,,,No,No,No,,Yes,iPhone,,"iPhone X Series",,No,,,,,"Fully Online","Moderately confident","> 500 Mbps",Average,"Somewhat likely",Maybe,Complete
1122,,"2020-07-27 22:03:43",Junior,,"College of Liberal Arts and Social Sciences",,"Modern and Classical Languages",,Male,Hispanic,,"Standard User [document writing/email/web]",Laptop,2016,14'',,No,,"Built-in to my computer",Average,"Dell Inspiron 7000",,Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i5",,"4 GB","256 GB","100 GB - 500 GB",No,,,,,,,,No,Yes,No,,Yes,Samsung,,"Samsung Galaxy",,No,,,,,Face-to-Face,"Very confident","100 - 300 Mbps",Fair,"Somewhat likely",Maybe,Complete
1123,,"2020-07-27 22:08:46","Doctoral Student (PhD)",,"College of Liberal Arts and Social Sciences",,"Political Science",,Male,"International (visa holders)",,"Standard User [document writing/email/web]",Laptop,2015,13'',,No,,"Built-in to my computer",Average,"Apple Macbook Pro",,Own,,"Mac OS",,Catalina,,"Intel Core i5",,"8 GB","256 GB","< 100 GB",Yes,"External backup disk",WD,,,,Monthly,Yes,Yes,No,No,,Yes,iPhone,,"iPhone 11",,No,,,,,Hybrid/Blended,"Moderately confident","< 100 Mbps",Average,"Somewhat likely",Yes,Complete
1124,,"2020-07-27 22:11:17",Senior,,"College of Liberal Arts and Social Sciences",,"Jack J. Valenti School of Communication",,Female,White,,"Standard User [document writing/email/web]",Laptop,2019,13'',,Other,"2 year","Built-in to my computer",Excellent,"Apple Macbook Air",,Own,,"Mac OS",,Catalina,,"Intel Core i5",,"8 GB","128 GB","100 GB - 500 GB",No,,,,,,,,Yes,Yes,No,,Yes,iPhone,,"iPhone 8",,Yes,"Apple Watch",,"Apple Watch 3",,"Fully Online","Moderately confident","100 - 300 Mbps",Average,"Neither likely nor unlikely",Maybe,Complete
1125,,"2020-07-27 22:16:35","Doctoral Student (PhD)",,"College of Liberal Arts and Social Sciences",,Psychology,,Female,White,,"Standard User [document writing/email/web]",Laptop,2017,Other,"13"" laptop with 22"" second screen ",No,,"Built-in to my computer",Good,"Apple Macbook Air",,Own,,"Mac OS",,Catalina,,"Intel Core i5",,"8 GB","256 GB","100 GB - 500 GB",Yes,Both,WD,,Dropbox,,Monthly,No,No,No,No,,Yes,iPhone,,"iPhone 11",,No,,,,,"Fully Online",Neutral,"100 - 300 Mbps",Average,"Very likely",Maybe,Complete
1126,,"2020-07-27 22:17:19",Senior,,"College of Liberal Arts and Social Sciences",,Psychology,,Female,White,,"Standard User [document writing/email/web]",Laptop,2019,15'',,No,,No,Average,"Lenovo Yoga",,Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i7",,"32 GB","256 GB","> 1 TB",No,,,,,,,,No,No,Yes,No,Yes,iPhone,,"iPhone 11",,No,,,,,Hybrid/Blended,"Not confident","100 - 300 Mbps",Good,"Very unlikely",Maybe,Complete
1127,,"[not completed]",Freshman,,"College of Liberal Arts and Social Sciences",,"Political Science",,Female,"Asian American",,"Standard User [document writing/email/web]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
1128,,"2020-07-27 22:35:19",Freshman,,"College of Liberal Arts and Social Sciences",,Psychology,,Female,White,,"Standard User [document writing/email/web]",Laptop,2018,13'',,No,,"Built-in to my computer",Good,Other,"Chrome book ",Own,,"Chrome OS",,Other,"Google Chrome","Intel Core i9",,"16 GB","128 GB","100 GB - 500 GB",No,,,,,,,,No,No,Yes,Yes,Yes,iPhone,,"iPhone 11",,Yes,"Apple Watch",,"Apple Watch 3",,"Fully Online","Somewhat confident","> 500 Mbps",Good,"Somewhat unlikely",Yes,Complete
1129,,"[not completed]",Senior,,"College of Liberal Arts and Social Sciences",,"Jack J. Valenti School of Communication",,Female,"Prefer Not to Say",,"Standard User [document writing/email/web]",Laptop,2020,15'',,No,,"Built-in to my computer",Excellent,"Dell Inspiron 7000",,Own,,"Windows OS",,"Windows 10 Home",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
1130,,"2020-07-27 22:32:48",Senior,,"College of Liberal Arts and Social Sciences",,Psychology,,Female,Hispanic,,"Standard User [document writing/email/web]",Tablet,2019,15'',,"1 year",,"Built-in to my computer",Good,"Microsoft Surface",,Own,,"Windows OS",,"Windows 10 Pro",,"Intel Core i9",,"8 GB","128 GB","100 GB - 500 GB",Yes,Cloud,,,"Google Drive",,Daily,Yes,No,No,No,,Yes,iPhone,,"iPhone 11",,Yes,"Apple Watch",,"Apple Watch 3",,"Fully Online","Somewhat confident","300 - 500 Mbps",Fair,"Very unlikely",Yes,Complete
1131,,"[not completed]",Senior,,"College of Liberal Arts and Social Sciences",,Psychology,,Female,"Asian American",,"Standard User [document writing/email/web]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
1132,,"2020-07-27 22:32:53",Junior,,"College of Natural Sciences and Mathematics","Computer Science",,,Male,White,,"Standard User [document writing/email/web]",Desktop,2017,17'',,No,,External,Excellent,"Apple Macbook Pro",,Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i7",,"32 GB","1 TB","> 1 TB",Yes,"External backup disk",WD,,,,Weekly,Yes,No,Yes,Yes,Yes,Yes,iPhone,,"iPhone 11",,Yes,"Apple Watch",,"Apple Watch 3",,"Fully Online","Very confident","> 500 Mbps",Excellent,"Very likely",Yes,Complete
1133,,"2020-07-27 22:33:18",Freshman,,"College of Liberal Arts and Social Sciences",,Psychology,,Male,Hispanic,,"Standard User [document writing/email/web]",Laptop,2020,13'',,No,,"Built-in to my computer",Good,"Apple Macbook Air",,Own,,"Mac OS",,Catalina,,"Intel Core i9",,"16 GB","128 GB","< 100 GB",Yes,Cloud,,,"Apple iCloud",,Monthly,Yes,No,No,No,,Yes,iPhone,,"iPhone 8",,No,,,,,Face-to-Face,Neutral,"100 - 300 Mbps",Average,"Somewhat unlikely",Maybe,Complete
1134,,"2020-07-27 22:45:30",Senior,,"College of Liberal Arts and Social Sciences",,Psychology,,Male,Hispanic,,"Standard User [document writing/email/web]",Laptop,2020,15'',,"1 year",,"Built-in to my computer",Excellent,"Dell Inspiron 7000",,Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i7",,"32 GB","1 TB","100 GB - 500 GB",Yes,"External backup disk",Seagate,,,,Monthly,No,No,No,Yes,No,Yes,Samsung,,"Samsung Galaxy",,No,,,,,Hybrid/Blended,"Moderately confident","> 500 Mbps",Good,"Very unlikely",Yes,Complete
1135,,"2020-07-27 22:45:56",Junior,,"College of Liberal Arts and Social Sciences",,"Health and Human Performance",,"Prefer Not to Say",Hispanic,,"Standard User [document writing/email/web]",Laptop,2017,13'',,Other,"Not sure ","Built-in to my computer",Average,"Apple Macbook Pro",,Other,Parents,"Mac OS",,"High Sierra",,"Intel Core i7",,"32 GB","256 GB","100 GB - 500 GB",No,,,,,,,,No,No,No,,Yes,iPhone,,"iPhone 11",,Yes,"Apple Watch",,"Apple Watch 3",,"Fully Online",Neutral,"100 - 300 Mbps",Poor,"Very likely",Maybe,Complete
1136,,"2020-07-27 22:43:56",Senior,,"College of Liberal Arts and Social Sciences",,Economics,,Female,Hispanic,,"Standard User [document writing/email/web]",Laptop,2016,13'',,No,,"Built-in to my computer",Excellent,"Apple Macbook Air",,Own,,"Mac OS",,"High Sierra",,Other,??,"8 GB","512 GB","500 GB - 1 TB",No,,,,,,,,No,No,No,,Yes,iPhone,,"iPhone X Series",,No,,,,,Face-to-Face,"Not confident","100 - 300 Mbps",Average,"Very unlikely",No,Complete
1137,,"[not completed]",Sophomore,,"College of Natural Sciences and Mathematics",Other,,nutrition,Female,"Asian American",,"Standard User [document writing/email/web]",Laptop,2013,14'',,No,,No,Fair,Other,hp,Own,,"Windows OS",,"Windows 10 Enterprise",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
1138,,"2020-07-27 22:56:10",Junior,,"College of Liberal Arts and Social Sciences",,"Health and Human Performance",,Female,White,,"Standard User [document writing/email/web]",Laptop,2015,14'',,No,,"Built-in to my computer",Good,"Apple Macbook Air",,Own,,"Mac OS",,"High Sierra",,"Intel Core i5",,"32 GB","256 GB","100 GB - 500 GB",No,,,,,,,,Yes,No,No,,Yes,iPhone,,Other,7,No,,,,,Face-to-Face,Neutral,"< 100 Mbps",Excellent,"Somewhat unlikely",Yes,Complete
1139,,"[not completed]",Senior,,"College of Liberal Arts and Social Sciences",,Economics,,Female,"Asian American",,"Power User [... plus programming/analytics]",Laptop,2016,13'',,"1 year",,"Built-in to my computer",Excellent,"Apple Macbook Air",,Own,,"Mac OS",,Mojave,,"Intel Core i9",,"32 GB","128 GB","100 GB - 500 GB",Yes,Cloud,,,"Apple iCloud",,Monthly,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,Incomplete
1140,,"2020-07-27 22:57:08",Junior,,"College of Liberal Arts and Social Sciences",,"Health and Human Performance",,Female,Hispanic,,"Standard User [document writing/email/web]",Laptop,2015,13'',,No,,"Built-in to my computer",Good,"Apple Macbook Air",,Own,,"Mac OS",,Catalina,,"Intel Core i9",,"16 GB","128 GB","100 GB - 500 GB",No,,,,,,,,No,No,Yes,No,Yes,iPhone,,"iPhone 8",,No,,,,,Hybrid/Blended,Neutral,"100 - 300 Mbps",Good,"Very unlikely",Yes,Complete
1141,,"[not completed]",Senior,,"College of Liberal Arts and Social Sciences",,"Health and Human Performance",,Female,Other,"Pakistani ","Standard User [document writing/email/web]",Laptop,2016,13'',,No,,"Built-in to my computer",Average,"Apple Macbook Pro",,Own,,"Mac OS",,Catalina,,Other,Other,"> 32 GB","512 GB","500 GB - 1 TB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
1142,,"[not completed]",Freshman,,"College of Liberal Arts and Social Sciences",,"Health and Human Performance",,Female,White,,"Standard User [document writing/email/web]",Laptop,2020,14'',,"1 year",,"Built-in to my computer",Average,"Apple Macbook Air",,Own,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
1143,,"[not completed]",Junior,,"College of Liberal Arts and Social Sciences",,Other,Nutrition,Female,Other,"Middle Eastern","Standard User [document writing/email/web]",Laptop,2017,13'',,No,,"Built-in to my computer",Good,"Apple Macbook Air",,Own,,"Mac OS",,"High Sierra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
1144,,"2020-07-27 23:08:19",Junior,,"College of Liberal Arts and Social Sciences",,Psychology,,Female,"African American",,"Standard User [document writing/email/web]",Laptop,2020,14'',,No,,"Built-in to my computer",Average,Other,N/A,Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i5",,"8 GB","128 GB","100 GB - 500 GB",No,,,,,,,,No,No,No,,Yes,iPhone,,"iPhone X Series",,No,,,,,"Fully Online",Neutral,"300 - 500 Mbps",Average,"Somewhat likely",Yes,Complete
1145,,"2020-07-27 23:11:08",Junior,,"College of Liberal Arts and Social Sciences",,English,,Female,"African American",,"Standard User [document writing/email/web]",Tablet,2018,Other,10,No,,No,Average,Other,"Samsung Galaxy Tab s4 ",Own,,"Chrome OS",,Other,"I don't know ","Intel Core i7",,"16 GB","128 GB","< 100 GB",Yes,Cloud,,,"Google Drive",,Weekly,No,No,Yes,Yes,No,Yes,Samsung,,"Samsung Galaxy",,Yes,Samsung,,"Samsung Galaxy Watch",,"Fully Online",Neutral,"300 - 500 Mbps",Excellent,"Very likely",Maybe,Complete
1146,,"2020-07-27 23:15:15",Freshman,,"College of Liberal Arts and Social Sciences",,Psychology,,Female,Hispanic,,"Standard User [document writing/email/web]",Laptop,2013,15'',,No,,"Built-in to my computer",Fair,"Dell Inspiron 3000",,Own,,"Windows OS",,Other,"Windows 7","Intel Core i5",,"8 GB","256 GB","100 GB - 500 GB",No,,,,,,,,No,Yes,No,,Yes,iPhone,,Other,"iPhone 7 Plus",No,,,,,Face-to-Face,Neutral,"100 - 300 Mbps",Average,"Somewhat unlikely",Yes,Complete
1147,,"2020-07-27 23:22:26",Freshman,,"College of Liberal Arts and Social Sciences",,Psychology,,Male,White,,"Standard User [document writing/email/web]",Laptop,2014,15'',,No,,"Built-in to my computer",Average,Other,Acer,Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i7",,"8 GB","256 GB","< 100 GB",No,,,,,,,,No,Yes,Yes,No,Yes,iPhone,,"iPhone 8",,No,,,,,Face-to-Face,Neutral,"300 - 500 Mbps",Good,"Somewhat unlikely",Yes,Complete
1148,,"2020-07-27 23:30:51",Freshman,,"College of Liberal Arts and Social Sciences",,"Political Science",,Female,White,,"Standard User [document writing/email/web]",Laptop,2016,13'',,No,,"Built-in to my computer",Good,"Apple Macbook Air",,Own,,"Mac OS",,"High Sierra",,"Intel Core i9",,"16 GB","512 GB","100 GB - 500 GB",Yes,Cloud,,,"Apple iCloud",,Daily,Yes,No,No,Yes,Yes,Yes,iPhone,,"iPhone X Series",,No,,,,,Face-to-Face,"Somewhat confident","> 500 Mbps",Good,"Somewhat likely",Yes,Complete
1149,,"2020-07-27 23:41:35",Junior,,"College of Liberal Arts and Social Sciences",,"Health and Human Performance",,Female,Hispanic,,"Standard User [document writing/email/web]",Laptop,2017,15'',,"1 year",,No,Average,Other,Hp,Own,,"Windows OS",,"Windows 10 Enterprise",,"Intel Core i7",,"32 GB","128 GB","< 100 GB",Yes,"External backup disk",Seagate,,,,Monthly,No,No,No,No,,Yes,iPhone,,"iPhone X Series",,No,,,,,"Fully Online","Not confident","< 100 Mbps",Poor,"Somewhat likely",Maybe,Complete
1150,,"2020-07-27 23:48:33","Masters Student (MS)",,"College of Liberal Arts and Social Sciences",,"Jack J. Valenti School of Communication",,Female,"African American",,"Standard User [document writing/email/web]",Desktop,2018,17'',,"1 year",,"Built-in to my computer",Good,"Apple Macbook Air",,Other,Family,"Mac OS",,Other,Mac,Other,N/A,"32 GB","512 GB","< 100 GB",No,,,,,,,,No,No,No,,Yes,iPhone,,"iPhone 8",,No,,,,,Hybrid/Blended,"Moderately confident","300 - 500 Mbps",Fair,"Somewhat likely",Maybe,Complete
1151,,"2020-07-27 23:51:46",Sophomore,,"College of Liberal Arts and Social Sciences",,Psychology,,Female,White,,"Standard User [document writing/email/web]",Laptop,2019,13'',,No,,"Built-in to my computer",Excellent,"Apple Macbook Air",,Own,,"Mac OS",,Other,"Mac OS X","Intel Core i7",,"32 GB","512 GB","100 GB - 500 GB",Yes,Cloud,,,"Apple iCloud",,Monthly,Yes,No,No,Yes,Yes,Yes,iPhone,,"iPhone X Series",,Yes,"Apple Watch",,"Apple Watch 3",,Face-to-Face,"Not confident","100 - 300 Mbps",Average,"Somewhat likely",Yes,Complete
1152,,"[not completed]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
1153,,"2020-07-27 23:56:11",Senior,,"College of Liberal Arts and Social Sciences",,Psychology,,"Prefer Not to Say",White,,"Standard User [document writing/email/web]",Laptop,2016,13'',,Other,"AppleCare ","Built-in to my computer",Good,"Apple Macbook Pro",,Own,,"Mac OS",,Catalina,,"Intel Core i9",,"> 32 GB","128 GB","< 100 GB",Yes,Cloud,,,"Apple iCloud",,Monthly,Yes,Yes,No,No,,Yes,iPhone,,"iPhone 11",,No,,,,,"Fully Online",Neutral,"100 - 300 Mbps",Average,"Very unlikely",Maybe,Complete
1154,,"2020-07-28 00:12:16",Junior,,"College of Liberal Arts and Social Sciences",,Other,"liberal studies",Female,Hispanic,,"Standard User [document writing/email/web]",Laptop,2014,15'',,No,,"Built-in to my computer",Good,"Apple Macbook Air",,Own,,"Mac OS",,Mojave,,"Intel Core i7",,"16 GB","256 GB","100 GB - 500 GB",Yes,Cloud,,,"Google Drive",,Other,Yes,No,No,No,,Yes,Samsung,,Other,"samsung galaxy j7 prime",No,,,,,Hybrid/Blended,"Moderately confident","300 - 500 Mbps",Average,"Somewhat likely",Maybe,Complete
1155,,"2020-07-28 00:07:53",Junior,,"College of Liberal Arts and Social Sciences",,"Health and Human Performance",,Female,White,,"Standard User [document writing/email/web]",Laptop,2017,14'',,No,,"Built-in to my computer",Good,Other,HP,Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i5",,"4 GB","128 GB","100 GB - 500 GB",No,,,,,,,,No,No,No,,Yes,iPhone,,"iPhone 11",,Yes,"Apple Watch",,"Apple Watch 3",,Hybrid/Blended,"Somewhat confident","100 - 300 Mbps",Good,"Neither likely nor unlikely",Yes,Complete
1156,,"2020-07-28 00:14:12",Freshman,,"College of Liberal Arts and Social Sciences",,Psychology,,Female,"Asian American",,"Standard User [document writing/email/web]",Laptop,2019,14'',,No,,"Built-in to my computer",Average,Other,Chromebook,Own,,"Chrome OS",,Other,"Chrome OS",Other,uh,"4 GB","128 GB","100 GB - 500 GB",No,,,,,,,,No,No,No,,Yes,iPhone,,"iPhone 11",,No,,,,,Face-to-Face,"Somewhat confident","100 - 300 Mbps",Poor,"Somewhat likely",Yes,Complete
1157,,"2020-07-28 00:19:44",Junior,,"College of Liberal Arts and Social Sciences",,"Health and Human Performance",,Transgender,Multiracial,,"Standard User [document writing/email/web]",Laptop,2018,13'',,No,,"Built-in to my computer",Good,"Apple Macbook Air",,Own,,"Mac OS",,Catalina,,"Intel Core i5",,"32 GB","128 GB","< 100 GB",Yes,Cloud,,,"Apple iCloud",,Daily,Yes,No,Yes,No,,Yes,iPhone,,"iPhone 11",,Yes,"Apple Watch",,"Apple Watch 4",,Face-to-Face,"Not confident","100 - 300 Mbps",Average,"Neither likely nor unlikely",Yes,Complete
1158,,"2020-07-28 00:25:37",Senior,,"College of Liberal Arts and Social Sciences",,"Jack J. Valenti School of Communication",,Female,Hispanic,,"Standard User [document writing/email/web]",Desktop,2020,Other,23,No,,No,Average,Other,n/a,Own,,"Windows OS",,"Windows 10 Home",,"AMD Ryzen",,"8 GB","128 GB","100 GB - 500 GB",No,,,,,,,,No,No,Yes,No,Yes,iPhone,,Other,"iphone 6",No,,,,,"Fully Online",Neutral,"100 - 300 Mbps",Average,"Neither likely nor unlikely",Maybe,Complete
1159,,"2020-07-28 00:36:47",Senior,,"College of Liberal Arts and Social Sciences",,"Jack J. Valenti School of Communication",,Female,Other,"South African","Standard User [document writing/email/web]",Laptop,2018,13'',,No,,"Built-in to my computer",Good,"Apple Macbook Air",,Own,,"Mac OS",,Catalina,,"Intel Core i5",,"8 GB","128 GB","< 100 GB",Yes,Both,Other,"External Hard Drive ","Apple iCloud",,Other,Yes,Yes,Yes,No,,Yes,iPhone,,"iPhone X Series",,Yes,"Apple Watch",,"Apple Watch 3",,Hybrid/Blended,Neutral,"> 500 Mbps",Excellent,"Neither likely nor unlikely",Yes,Complete
