"Record ID","Survey Identifier","Survey Timestamp","Participant classification","Please enter your classification","Main department","Please write down your main department",Gender,Race/Ethnicity,"Please enter your ethnicity","What type of computer user are you?","My primary computer is a","What year was your computer purchased?","What is the size of your computer screen?","The screen size of your computer","Do you have a warranty on your computer?","Warranty on your computer","Do you have a webcam?","How would you rate your computer?","What model is your computer?","Computer model","Computer ownership","Computer ownership","What is the operating system that you use?","Operating system","Operating system version","Operating system version","Computer processor","Please write your computer processor","Computer memory size (RAM)","Computer hard disk","Current size of your data in the computer's hard disk","Do you backup the data from your computer?","What backup method do you use?","Brand of external back-up disk","Please write down the brand of external back-up disk","Brand of cloud","Please write down the brand of your cloud back-up","Backup frequency","Have you set up automatic backups?","Have you experienced a catastrophic loss of data in the last three years?","Are you familiar with the UH Microsoft 365 OneDrive for automated, incremental backups?","Do you have a secondary computer device?","Is it synced with your primary computer device?","Do you have a smartphone?","Smartphone brand","Please write down the name of your smartphone","Smartphone model","Please write down the model of your smartphone","Do you have a smartwatch?","Smartwatch brand","Please write down the name of your smartwatch","Smartwatch model","Please write down the model of your smartwatch","What is your preferred course delivery format for courses in the Fall 2020 semester?","How confident do you feel installing and configuring software (docker containers, VPN, backup software, and others) by yourself on your computer?","Speed of your home Internet","Given your online course experience from Spring 2020, how reliable has your Internet connectivity been overall?","If you were provided adequate IT support to setup your primary computers with needed coursework software, how likely would you use the on campus Computer Labs in a future semester?","Would it be beneficial for IT personnel to have office hours (like a help desk) to assist you with with course-related software issues, general computer systems issues, and other related challenges?",Complete?
420,,"2020-06-22 19:43:54","Post-Baccalaureate (second degree)",,"Biology and Biochemistry",,Female,"Asian American",,"Standard User [document writing/email/web]",Laptop,2020,13'',,No,,"Built-in to my computer",Excellent,"Apple Macbook Pro",,Own,,"Mac OS",,Catalina,,"Intel Core i5",,"8 GB","128 GB","100 GB - 500 GB",No,,,,,,,,No,No,No,,Yes,iPhone,,"iPhone 11",,Yes,"Apple Watch",,"Apple Watch 4",,"Fully Online",Neutral,"100 - 300 Mbps",Average,"Somewhat likely",Maybe,Complete
421,,"[not completed]",Freshman,,"Biology and Biochemistry",,Female,White,,"Standard User [document writing/email/web]",Laptop,2018,15'',,No,,"Built-in to my computer",Excellent,"Apple Macbook Pro",,Own,,"Mac OS",,Catalina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
422,,"2020-06-22 20:09:52",Junior,,Chemistry,,Female,"Asian American",,"Standard User [document writing/email/web]",Laptop,2019,15'',,"1 year",,"Built-in to my computer",Excellent,"Dell Inspiron 7000",,Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i7",,"16 GB","512 GB","100 GB - 500 GB",No,,,,,,,,No,No,Yes,No,Yes,iPhone,,"iPhone 11",,No,,,,,"Fully Online","Somewhat confident","< 100 Mbps",Excellent,"Somewhat unlikely",Maybe,Complete
423,,"2020-06-22 20:13:13",Senior,,"Computer Science",,Male,"African American",,"Power User [... plus programming/analytics]",Laptop,2018,15'',,No,,"Built-in to my computer",Good,Other,"Acer Aspire 5",Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i5",,"8 GB","256 GB","100 GB - 500 GB",No,,,,,,,,No,No,Yes,No,Yes,Samsung,,"Samsung Galaxy",,No,,,,,"Fully Online","Somewhat confident","100 - 300 Mbps",Good,"Somewhat unlikely",Yes,Complete
424,,"2020-06-22 20:16:55",Senior,,Chemistry,,Female,Hispanic,,"Power User [... plus programming/analytics]",Laptop,2015,14'',,"3 year",,"Built-in to my computer",Excellent,"Apple Macbook Pro",,Own,,"Mac OS",,Catalina,,"Intel Core i9",,"> 32 GB","256 GB","100 GB - 500 GB",Yes,Cloud,,,"Apple iCloud",,Daily,Yes,No,Yes,No,,Yes,iPhone,,"iPhone X Series",,Yes,"Apple Watch",,"Apple Watch 3",,"Fully Online","Very confident","> 500 Mbps",Excellent,"Neither likely nor unlikely",Yes,Complete
425,,"2020-06-22 20:22:35",Senior,,Chemistry,,Male,Multiracial,,"Standard User [document writing/email/web]",Laptop,2020,14'',,No,,No,Good,Other,Fujitsu,Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i5",,"8 GB","512 GB","100 GB - 500 GB",Yes,Cloud,,,"Microsoft OneDrive",,Weekly,Yes,No,Yes,Yes,No,Yes,Other,Motorola,Other,"Force Droid",No,,,,,Face-to-Face,"Very confident","> 500 Mbps",Good,"Very likely",Yes,Complete
426,,"2020-06-22 20:33:41",Sophomore,,"Biology and Biochemistry",,Female,"Asian American",,"Standard User [document writing/email/web]",Laptop,2019,15'',,No,,"Built-in to my computer",Average,Other,"HP ENVY x360 Convertible 15",Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i7",,"16 GB","256 GB","< 100 GB",Yes,Cloud,,,"Google Drive",,Monthly,Yes,No,Yes,No,,Yes,iPhone,,"iPhone 11",,No,,,,,Face-to-Face,Neutral,"100 - 300 Mbps",Average,"Neither likely nor unlikely",Yes,Complete
427,,"2020-06-22 22:09:50",Freshman,,"Biology and Biochemistry",,Female,"Asian American",,"Standard User [document writing/email/web]",Laptop,2016,15'',,No,,"Built-in to my computer",Poor,Other,"HP Pavilion",Own,,"Windows OS",,"Windows 10 Home",,Other,"Intel(R) Core (TM) i5-6200U CPU","8 GB","512 GB","100 GB - 500 GB",No,,,,,,,,No,No,Yes,No,Yes,Samsung,,"Samsung Galaxy",,No,,,,,Hybrid/Blended,"Not confident","< 100 Mbps",Average,"Somewhat unlikely",Maybe,Complete
428,,"2020-06-22 20:44:34",Senior,,Chemistry,,Female,"Asian American",,"Standard User [document writing/email/web]",Laptop,2015,Other,21,"1 year",,"Built-in to my computer",Excellent,Other,"Apple iMac",Own,,"Mac OS",,Mojave,,"Intel Core i5",,"16 GB","512 GB","500 GB - 1 TB",Yes,Cloud,,,"Apple iCloud",,Monthly,No,No,No,Yes,Yes,Yes,iPhone,,"iPhone 8",,No,,,,,"Fully Online","Very confident","> 500 Mbps",Excellent,"Neither likely nor unlikely",No,Complete
429,,"[not completed]",Sophomore,,"Computer Science",,Male,"Asian American",,"Standard User [document writing/email/web]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
430,,"2020-06-22 20:58:54",Senior,,"Biology and Biochemistry",,Male,Hispanic,,"Standard User [document writing/email/web]",Laptop,2016,13'',,No,,"Built-in to my computer",Fair,"Apple Macbook Air",,Own,,"Mac OS",,Catalina,,"Intel Core i5",,"8 GB","256 GB","100 GB - 500 GB",No,,,,,,,,No,No,No,,Yes,iPhone,,"iPhone X Series",,No,,,,,Hybrid/Blended,"Moderately confident","< 100 Mbps",Fair,"Neither likely nor unlikely",Maybe,Complete
431,,"[not completed]",Senior,,Mathematics,,Male,"Asian American",,"Standard User [document writing/email/web]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
432,,"2020-06-22 21:28:51","Masters Student (MS)",,"Earth and Atmospheric Sciences",,Female,White,,"Standard User [document writing/email/web]",Laptop,2014,14'',,No,,"Built-in to my computer",Average,"Apple Macbook Pro",,Own,,"Mac OS",,Catalina,,"Intel Core i5",,"4 GB","128 GB","< 100 GB",No,,,,,,,,No,No,No,,Yes,iPhone,,"iPhone 11",,No,,,,,Hybrid/Blended,"Moderately confident","300 - 500 Mbps",Excellent,"Very unlikely",Maybe,Complete
433,,"2020-06-22 22:05:31",Freshman,,"Earth and Atmospheric Sciences",,Male,Hispanic,,"Standard User [document writing/email/web]",Laptop,2019,Other,11'',"3 year",,"Built-in to my computer",Average,Other,"Samsung Chromebook",Own,,"Chrome OS",,Other,"Google Chrome OS","Intel Core i9",,"4 GB","128 GB","< 100 GB",No,,,,,,,,No,No,No,,Yes,iPhone,,Other,"iphone 7+",No,,,,,Hybrid/Blended,"Moderately confident","100 - 300 Mbps",Average,"Somewhat likely",Yes,Complete
434,,"[not completed]",Junior,,Chemistry,,Male,"Asian American",,"Standard User [document writing/email/web]",Laptop,2019,14'',,No,,"Built-in to my computer",Good,"Lenovo ThinkPad",,Own,,"Windows OS",,"Windows 10 Pro",,"AMD Ryzen",,"8 GB","256 GB","< 100 GB",No,,,,,,,,No,Yes,No,,,,,,,,,,,,,,,,,,Incomplete
435,,"[not completed]",Sophomore,,"Biology and Biochemistry",,Female,"Asian American",,"Standard User [document writing/email/web]",Laptop,2015,13'',,No,,"Built-in to my computer",Average,"Apple Macbook Air",,Own,,"Mac OS",,Other,"Mac OS ",,,,,"< 100 GB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
436,,"[not completed]",Junior,,"Biology and Biochemistry",,Male,"International (visa holders)",,"Standard User [document writing/email/web]",Tablet,2017,17'',,No,,"Built-in to my computer",Excellent,Other,pro,Own,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
437,,"2020-06-22 22:30:50","Masters Student (MS)",,Mathematics,,Male,White,,"Power User [... plus programming/analytics]",Desktop,2016,Other,27,No,,"Built-in to my computer",Excellent,Other,IMac,Own,,"Mac OS",,Catalina,,"Intel Core i7",,"> 32 GB","1 TB","100 GB - 500 GB",Yes,Cloud,,,"Apple iCloud",,Daily,Yes,No,Yes,Yes,Yes,Yes,iPhone,,"iPhone X Series",,No,,,,,"Fully Online","Very confident","> 500 Mbps",Excellent,"Very unlikely",No,Complete
438,,"[not completed]",Freshman,,"Biology and Biochemistry",,Female,White,,"Standard User [document writing/email/web]",Laptop,2020,Other,16,"1 year",,"Built-in to my computer",Excellent,"Apple Macbook Pro",,Own,,"Mac OS",,Other,apple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
439,,"[not completed]",Freshman,,"Biology and Biochemistry",,Female,Hispanic,,"Standard User [document writing/email/web]",Laptop,2020,13'',,No,,"Built-in to my computer",Good,"Apple Macbook Air",,Own,,"Mac OS",,"Windows 10 Home",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
440,,"2020-06-22 23:20:09",Sophomore,,"Biology and Biochemistry",,Female,"Asian American",,"Standard User [document writing/email/web]",Laptop,2018,13'',,"1 year",,"Built-in to my computer",Excellent,"Apple Macbook Pro",,Own,,"Mac OS",,Catalina,,"Intel Core i5",,"8 GB","256 GB","< 100 GB",No,,,,,,,,No,No,No,,Yes,iPhone,,"iPhone X Series",,Yes,"Apple Watch",,"Apple Watch 3",,Hybrid/Blended,"Very confident","> 500 Mbps",Excellent,"Somewhat unlikely",Maybe,Complete
441,,"[not completed]",Sophomore,,Mathematics,,Female,White,,"Standard User [document writing/email/web]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
442,,"[not completed]",Freshman,,"Biology and Biochemistry",,Female,"Asian American",,"Standard User [document writing/email/web]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
443,,"[not completed]",Freshman,,"Biology and Biochemistry",,Female,"Asian American",,"Standard User [document writing/email/web]",Laptop,2018,13'',,No,,"Built-in to my computer",Average,"Apple Macbook Pro",,Own,,"Mac OS",,Mojave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
444,,"[not completed]",Freshman,,"Biology and Biochemistry",,Female,"Asian American",,"Standard User [document writing/email/web]",Laptop,2018,13'',,No,,"Built-in to my computer",Average,"Apple Macbook Pro",,Own,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
445,,"2020-06-23 00:40:23",Junior,,"Biology and Biochemistry",,Female,"Asian American",,"Standard User [document writing/email/web]",Laptop,2018,13'',,No,,"Built-in to my computer",Good,"Apple Macbook Pro",,Own,,"Mac OS",,Catalina,,"Intel Core i7",,"4 GB","128 GB","100 GB - 500 GB",No,,,,,,,,Yes,Yes,Yes,Yes,Yes,iPhone,,Other,"iPhone 6",No,,,,,"Fully Online","Moderately confident","300 - 500 Mbps",Excellent,"Very unlikely",Maybe,Complete
446,,"2020-06-23 00:53:14","Doctoral Student (PhD)",,"Computer Science",,Male,Hispanic,,"Power User [... plus programming/analytics]",Desktop,2020,Other,"2 x 27""",Other,2yr,"Built-in to my computer",Excellent,Other,"Custom build",Own,,"Windows OS",,"Windows 10 Pro",,"AMD Ryzen",,"> 32 GB","> 1 TB","> 1 TB",Yes,Cloud,,,"Google Drive",,Daily,Yes,No,No,Yes,Yes,Yes,Google,,"Google Pixel 4",,Yes,Samsung,,"Samsung Galaxy Watch",,"Fully Online","Very confident","> 500 Mbps",Excellent,"Very unlikely",Maybe,Complete
447,,"[not completed]",Senior,,"Computer Science",,"Prefer Not to Say","Prefer Not to Say",,"Power User [... plus programming/analytics]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
448,,"2020-06-23 02:21:33","Masters Student (MS)",,"Computer Science",,Male,"International (visa holders)",,"Power User [... plus programming/analytics]",Laptop,2019,15'',,"1 year",,"Built-in to my computer",Good,Other,"DELL XPS",Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i7",,"16 GB","1 TB","100 GB - 500 GB",Yes,"External backup disk",WD,,,,Monthly,No,No,Yes,Yes,No,Yes,iPhone,,"iPhone 11",,Yes,Fitbit,,"Fitbit Versa",,"Fully Online","Moderately confident","100 - 300 Mbps",Average,"Somewhat likely",Yes,Complete
449,,"[not completed]",Sophomore,,"Biology and Biochemistry",,Female,Hispanic,,"Standard User [document writing/email/web]",Laptop,2019,14'',,"1 year",,"Built-in to my computer",Good,"Apple Macbook Pro",,Own,,"Mac OS",,Catalina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
450,,"[not completed]",Junior,,"Computer Science",,Male,Hispanic,,"Power User [... plus programming/analytics]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
451,,"2020-06-23 06:14:52",Senior,,Physics,,Male,Multiracial,,"Power User [... plus programming/analytics]",Desktop,2019,Other,"27""",No,,External,Excellent,Other,"Custom Built ",Own,,"Windows OS",,"Windows 10 Home",,"AMD Ryzen",,"16 GB","> 1 TB","500 GB - 1 TB",Yes,Cloud,,,"Google Drive",,Other,No,No,Yes,Yes,No,Yes,iPhone,,"iPhone X Series",,Yes,"Apple Watch",,"Apple Watch 3",,"Fully Online","Very confident","100 - 300 Mbps",Excellent,"Very unlikely",Yes,Complete
452,,"2020-06-23 07:36:16",Senior,,"Earth and Atmospheric Sciences",,Male,"International (visa holders)",,"Standard User [document writing/email/web]",Laptop,2019,13'',,No,,"Built-in to my computer",Fair,Other,"Lenovo Ideapad",Own,,"Windows OS",,"Windows 10 Home",,Other,"Intel Celeron N400","4 GB","128 GB","< 100 GB",Yes,Cloud,,,"Microsoft OneDrive",,Weekly,Yes,Yes,Yes,No,,Yes,iPhone,,Other,"Iphone 7 Plus",No,,,,,"Fully Online",Neutral,"< 100 Mbps",Average,"Somewhat likely",Maybe,Complete
453,,"2020-06-23 08:21:54","Post-Baccalaureate (second degree)",,"Biology and Biochemistry",,Male,White,,"Standard User [document writing/email/web]",Tablet,2018,Other,11,"1 year",,"Built-in to my computer",Average,Other,"Samsung S4",Own,,Other,"android ",Other,na,Other,na,"32 GB","128 GB","100 GB - 500 GB",Yes,Both,Samsung,,"Google Drive",,Weekly,Yes,No,No,Yes,Yes,Yes,Samsung,,"Samsung Galaxy",,Yes,Samsung,,"Samsung Galaxy Watch",,Hybrid/Blended,"Very confident","< 100 Mbps",Average,"Very unlikely",Yes,Complete
454,,"2020-06-23 09:26:58",Junior,,"Computer Science",,Female,White,,"Power User [... plus programming/analytics]",Laptop,2020,15'',,No,,"Built-in to my computer",Excellent,Other,HP,Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i7",,"16 GB","1 TB","100 GB - 500 GB",Yes,"External backup disk",WD,,,,Other,No,No,No,No,,Yes,iPhone,,"iPhone 11",,Yes,"Apple Watch",,"Apple Watch 4",,Face-to-Face,Neutral,"100 - 300 Mbps",Fair,"Somewhat likely",Yes,Complete
455,,"2020-06-23 09:57:00",Senior,,Chemistry,,Female,Hispanic,,"Standard User [document writing/email/web]",Laptop,2018,14'',,No,,"Built-in to my computer",Good,"Lenovo Yoga",,Own,,"Chrome OS",,"Windows 10 Home",,Other,"intel core i5","8 GB","256 GB","100 GB - 500 GB",No,,,,,,,,No,No,Yes,No,Yes,iPhone,,Other,"iPhone 6s",No,,,,,Hybrid/Blended,"Somewhat confident","300 - 500 Mbps",Good,"Very unlikely",Yes,Complete
456,,"2020-06-23 10:17:46",Junior,,"Computer Science",,Male,Hispanic,,"Power User [... plus programming/analytics]",Desktop,2018,Other,"24"" and 27""",Other,"Various hardware parts with manufacturer's warranties",External,Excellent,Other,"Aggregation of various computer parts from different brands",Own,,"Windows OS",,"Windows 10 Pro",,"Intel Core i7",,"32 GB","> 1 TB","> 1 TB",No,,,,,,,,No,Yes,Yes,No,Yes,iPhone,,Other,"iPhone 6",No,,,,,"Fully Online","Very confident","100 - 300 Mbps",Average,"Very unlikely",Maybe,Complete
457,,"[not completed]",Sophomore,,"Computer Science",,Male,"Asian American",,"Power User [... plus programming/analytics]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
458,,"2020-06-23 10:21:38",Senior,,Mathematics,,Female,"Prefer Not to Say",,"Standard User [document writing/email/web]",Laptop,2020,13'',,"1 year",,"Built-in to my computer",Excellent,"Microsoft Surface",,Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i7",,"8 GB","128 GB","< 100 GB",Yes,Cloud,,,"Google Drive",,Weekly,No,No,Yes,No,,Yes,Samsung,,"Samsung Galaxy",,No,,,,,Hybrid/Blended,"Somewhat confident","300 - 500 Mbps",Average,"Somewhat likely",Maybe,Complete
459,,"[not completed]","Doctoral Student (PhD)",,"Biology and Biochemistry",,Male,"Prefer Not to Say",,"Power User [... plus programming/analytics]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
460,,"2020-06-23 11:27:20","Doctoral Student (PhD)",,"Earth and Atmospheric Sciences",,Female,"International (visa holders)",,"Power User [... plus programming/analytics]",Laptop,2020,15'',,"1 year",,"Built-in to my computer",Excellent,"Apple Macbook Pro",,Own,,"Mac OS",,Catalina,,"Intel Core i9",,"16 GB","1 TB","100 GB - 500 GB",Yes,Cloud,,,"Apple iCloud",,Weekly,Yes,No,No,No,,Yes,iPhone,,"iPhone 11",,Yes,"Apple Watch",,"Apple Watch 4",,"Fully Online","Moderately confident","300 - 500 Mbps",Good,"Neither likely nor unlikely",Maybe,Complete
461,,"2020-06-23 12:00:15","Masters Student (MS)",,Mathematics,,Female,"Asian American",,"Power User [... plus programming/analytics]",Desktop,2014,14'',,No,,"Built-in to my computer",Good,Other,"Asus Zenbook",Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i7",,"8 GB","128 GB","100 GB - 500 GB",No,,,,,,,,No,Yes,Yes,No,Yes,iPhone,,Other,"iPhone 6S",Yes,"Apple Watch",,"Apple Watch 4",,"Fully Online","Moderately confident","300 - 500 Mbps",Good,"Very unlikely",No,Complete
462,,"2020-06-23 12:31:25",Sophomore,,"Computer Science",,Female,Hispanic,,"Power User [... plus programming/analytics]",Laptop,2019,13'',,No,,"Built-in to my computer",Good,"Apple Macbook Pro",,Own,,"Mac OS",,Catalina,,"Intel Core i7",,"8 GB","128 GB","100 GB - 500 GB",Yes,Both,Seagate,,"Apple iCloud",,Monthly,Yes,No,No,No,,Yes,iPhone,,"iPhone 11",,Yes,"Apple Watch",,"Apple Watch 5",,Hybrid/Blended,"Very confident","100 - 300 Mbps",Fair,"Somewhat likely",Yes,Complete
463,,"[not completed]",Junior,,"Biology and Biochemistry",,Female,"African American",,"Standard User [document writing/email/web]",Laptop,2018,15'',,No,,"Built-in to my computer",Good,Other,HP,Own,,"Windows OS",,"Windows 10 Home",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
464,,"2020-06-23 12:57:35","Doctoral Student (PhD)",,Physics,,Male,White,,"Power User [... plus programming/analytics]",Laptop,2020,13'',,"1 year",,"Built-in to my computer",Fair,"Apple Macbook Air",,Own,,"Mac OS",,Mojave,,"Intel Core i7",,"8 GB","128 GB","< 100 GB",Yes,"External backup disk",Samsung,,,,Other,No,No,Yes,No,,Yes,Samsung,,"Samsung Galaxy",,No,,,,,Hybrid/Blended,"Somewhat confident","100 - 300 Mbps",Fair,"Somewhat likely",Maybe,Complete
465,,"2020-06-23 13:28:04",Junior,,Mathematics,,Female,"International (visa holders)",,"Standard User [document writing/email/web]",Laptop,2014,Other,"11""",No,,"Built-in to my computer",Good,"Apple Macbook Air",,Own,,"Mac OS",,"Windows 10 Home",,"Intel Core i5",,"8 GB","256 GB","100 GB - 500 GB",No,,,,,,,,No,Yes,Yes,No,Yes,iPhone,,Other,SE,Yes,"Apple Watch",,Other,"Apple 1","Fully Online","Very confident","300 - 500 Mbps",Excellent,"Neither likely nor unlikely",Maybe,Complete
466,,"[not completed]",Freshman,,"Biology and Biochemistry",,Female,"African American",,"Standard User [document writing/email/web]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
467,,"2020-06-23 14:40:59",Sophomore,,"Biology and Biochemistry",,Male,"African American",,"Standard User [document writing/email/web]",Laptop,2019,13'',,No,,"Built-in to my computer",Excellent,"Apple Macbook Air",,Own,,"Mac OS",,Catalina,,"Intel Core i9",,"16 GB","128 GB","500 GB - 1 TB",No,,,,,,,,No,No,No,,Yes,iPhone,,"iPhone 8",,No,,,,,Face-to-Face,Neutral,"300 - 500 Mbps",Good,"Somewhat likely",Yes,Complete
468,,"2020-06-23 15:06:25",Senior,,"Computer Science",,Male,"Asian American",,"Power User [... plus programming/analytics]",Laptop,2013,15'',,No,,"Built-in to my computer",Good,Other,"HP ENVY dv6 Notebook PC",Own,,"Windows OS",,Other,"Windows 8","Intel Core i7",,"8 GB","512 GB","100 GB - 500 GB",No,,,,,,,,No,No,Yes,Yes,Yes,Samsung,,"Samsung Galaxy",,No,,,,,"Fully Online",Neutral,"< 100 Mbps",Good,"Neither likely nor unlikely",Yes,Complete
469,,"2020-06-23 15:32:34",Freshman,,"Biology and Biochemistry",,Female,Hispanic,,"Standard User [document writing/email/web]",Tablet,2020,Other,11'',No,,"Built-in to my computer",Excellent,Other,"Apple iPad Pro 2nd generation",Own,,Other,iOS,Other,"Ipad OS",Other,A12Z,"8 GB","128 GB","100 GB - 500 GB",Yes,Cloud,,,"Apple iCloud",,Daily,No,No,Yes,Yes,No,Yes,iPhone,,"iPhone 11",,No,,,,,Face-to-Face,"Somewhat confident","300 - 500 Mbps",Good,"Neither likely nor unlikely",Yes,Complete
470,,"2020-06-23 15:35:05",Junior,,"Biology and Biochemistry",,Male,"Asian American",,"Standard User [document writing/email/web]",Laptop,2017,Other,"11""",No,,"Built-in to my computer",Average,Other,"Hp Spectre",Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i7",,"8 GB","512 GB","< 100 GB",No,,,,,,,,No,No,Yes,Yes,Yes,Google,,"Google Pixel 3a",,No,,,,,Hybrid/Blended,"Moderately confident","< 100 Mbps",Average,"Neither likely nor unlikely",Maybe,Complete
471,,"2020-06-23 15:47:36",Freshman,,"Biology and Biochemistry",,Female,"Asian American",,"Standard User [document writing/email/web]",Laptop,2010,14'',,No,,"Built-in to my computer",Average,Other,"DELL Latitude E6430",Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i5",,"8 GB","256 GB","< 100 GB",No,,,,,,,,No,Yes,No,,Yes,Samsung,,"Samsung Galaxy",,No,,,,,Hybrid/Blended,Neutral,"100 - 300 Mbps",Excellent,"Somewhat likely",Yes,Complete
472,,"[not completed]","Doctoral Student (PhD)",,"Earth and Atmospheric Sciences",,Female,White,,"Standard User [document writing/email/web]",Laptop,2018,15'',,No,,"Built-in to my computer",Excellent,"Apple Macbook Pro",,"University property",,"Mac OS",,Catalina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
473,,"2020-06-23 16:27:19","Post-Baccalaureate (second degree)",,"Biology and Biochemistry",,Female,Multiracial,,"Power User [... plus programming/analytics]",Desktop,2017,17'',,No,,External,Average,Other,"custom built",Own,,"Windows OS",,"Windows 10 Pro",,"Intel Core i5",,"> 32 GB","> 1 TB","> 1 TB",Yes,"External backup disk",Seagate,,,,Monthly,Yes,No,Yes,No,,Yes,iPhone,,"iPhone X Series",,Yes,Fitbit,,"Fitbit Versa",,Face-to-Face,"Very confident","300 - 500 Mbps",Average,"Very likely",Maybe,Complete
474,,"2020-06-23 17:02:27",Senior,,"Biology and Biochemistry",,Transgender,Multiracial,,"Standard User [document writing/email/web]",Desktop,2017,17'',,No,,No,Good,Other,"MSI MS-B907",Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i7",,"16 GB","1 TB","500 GB - 1 TB",Yes,Both,Seagate,,"Microsoft OneDrive",,Other,Yes,No,Yes,Yes,Yes,Yes,iPhone,,"iPhone X Series",,No,,,,,"Fully Online","Moderately confident","< 100 Mbps",Good,"Somewhat likely",Maybe,Complete
475,,"2020-06-23 17:02:23",Sophomore,,Chemistry,,Male,Hispanic,,"Standard User [document writing/email/web]",Desktop,2012,14'',,No,,"Built-in to my computer",Fair,"Microsoft Surface",,Own,,"Mac OS",,"High Sierra",,"Intel Core i5",,"8 GB","1 TB","500 GB - 1 TB",No,,,,,,,,No,Yes,Yes,No,Yes,Samsung,,Other,"Samsung Galaxy Note 10",No,,,,,Face-to-Face,"Very confident","< 100 Mbps",Good,"Neither likely nor unlikely",Maybe,Complete
476,,"[not completed]",Senior,,Mathematics,,Male,"Asian American",,"Standard User [document writing/email/web]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
477,,"2020-06-23 17:23:21","Masters Student (MS)",,"Earth and Atmospheric Sciences",,Female,Hispanic,,"Power User [... plus programming/analytics]",Laptop,2016,13'',,"1 year",,"Built-in to my computer",Good,Other,"HP Spectre x360",Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i7",,"8 GB","256 GB","100 GB - 500 GB",No,,,,,,,,No,Yes,Yes,No,Yes,Samsung,,"Samsung Galaxy",,Yes,Samsung,,"Samsung Galaxy Watch",,Hybrid/Blended,Neutral,"300 - 500 Mbps",Good,"Somewhat likely",Yes,Complete
478,,"2020-06-23 17:30:19","Post-Baccalaureate (second degree)",,"Computer Science",,Female,White,,"Power User [... plus programming/analytics]",Laptop,2019,15'',,No,,"Built-in to my computer",Excellent,"Lenovo ThinkPad",,Own,,Other,"Linux Debian 10",Other,"Debian 10 (Buster)","Intel Core i5",,"8 GB","256 GB","100 GB - 500 GB",Yes,Both,WD,,Dropbox,,Other,No,No,No,No,,Yes,Google,,Other,"Pixel (original)",Yes,Fitbit,,Other,"Inspire 3",Hybrid/Blended,"Moderately confident","300 - 500 Mbps",Excellent,"Very unlikely",Yes,Complete
479,,"2020-06-23 17:59:58","Doctoral Student (PhD)",,"Computer Science",,Male,White,,"Power User [... plus programming/analytics]",Laptop,2015,15'',,No,,"Built-in to my computer",Good,"Apple Macbook Pro",,Own,,"Mac OS",,Other,"El Capitan","Intel Core i7",,"16 GB","512 GB","100 GB - 500 GB",Yes,Cloud,,,Dropbox,,Weekly,Yes,No,Yes,No,,Yes,iPhone,,Other,"iPhone 6S Plus",No,,,,,"Fully Online","Very confident","< 100 Mbps",Good,"Somewhat unlikely",Maybe,Complete
